layer,head,type,effect
0,0,attn_head,0.0078125
0,1,attn_head,0.078125
0,2,attn_head,-0.0625
0,3,attn_head,-0.046875
0,4,attn_head,-0.0625
0,5,attn_head,-0.1171875
0,6,attn_head,-0.0390625
0,7,attn_head,-0.0625
0,8,attn_head,0.015625
0,9,attn_head,0.015625
0,10,attn_head,-0.0078125
0,11,attn_head,-0.0078125
0,12,attn_head,0.0625
0,13,attn_head,-0.0078125
0,14,attn_head,-0.03125
0,15,attn_head,0.046875
1,0,attn_head,0.03125
1,1,attn_head,-0.0078125
1,2,attn_head,0.015625
1,3,attn_head,0.015625
1,4,attn_head,-0.0234375
1,5,attn_head,-0.015625
1,6,attn_head,0.0234375
1,7,attn_head,-0.0234375
1,8,attn_head,-0.0234375
1,9,attn_head,0.015625
1,10,attn_head,-0.015625
1,11,attn_head,0.03125
1,12,attn_head,-0.015625
1,13,attn_head,0.078125
1,14,attn_head,0.015625
1,15,attn_head,-0.0078125
2,0,attn_head,0.0390625
2,1,attn_head,0.03125
2,2,attn_head,-0.0078125
2,3,attn_head,-0.0078125
2,4,attn_head,0.0234375
2,5,attn_head,0.0078125
2,6,attn_head,0.0234375
2,7,attn_head,-0.0390625
2,8,attn_head,-0.0234375
2,9,attn_head,-0.0390625
2,10,attn_head,-0.0078125
2,11,attn_head,0.0234375
2,12,attn_head,0.0859375
2,13,attn_head,0.015625
2,14,attn_head,0.0234375
2,15,attn_head,0.0546875
3,0,attn_head,-0.015625
3,1,attn_head,0.03125
3,2,attn_head,-0.0234375
3,3,attn_head,0.0625
3,4,attn_head,-0.03125
3,5,attn_head,0.0234375
3,6,attn_head,-0.15625
3,7,attn_head,-0.0625
3,8,attn_head,-0.0234375
3,9,attn_head,-0.0078125
3,10,attn_head,-0.0078125
3,11,attn_head,-0.0859375
3,12,attn_head,-0.0078125
3,13,attn_head,-0.03125
3,14,attn_head,0.0078125
3,15,attn_head,-0.0625
4,0,attn_head,-0.09375
4,1,attn_head,-0.03125
4,2,attn_head,-0.078125
4,3,attn_head,0.015625
4,4,attn_head,0.0390625
4,5,attn_head,-0.015625
4,6,attn_head,-0.0625
4,7,attn_head,-0.015625
4,8,attn_head,0.0234375
4,9,attn_head,-0.0234375
4,10,attn_head,-0.09375
4,11,attn_head,0.0859375
4,12,attn_head,-0.0546875
4,13,attn_head,0.0078125
4,14,attn_head,-0.1015625
4,15,attn_head,0.0
5,0,attn_head,-0.0234375
5,1,attn_head,0.046875
5,2,attn_head,0.078125
5,3,attn_head,0.0546875
5,4,attn_head,0.0
5,5,attn_head,0.0703125
5,6,attn_head,0.015625
5,7,attn_head,0.046875
5,8,attn_head,0.046875
5,9,attn_head,-0.015625
5,10,attn_head,-0.0078125
5,11,attn_head,0.0390625
5,12,attn_head,-0.03125
5,13,attn_head,-0.0234375
5,14,attn_head,0.015625
5,15,attn_head,-0.046875
6,0,attn_head,-0.0859375
6,1,attn_head,-0.03125
6,2,attn_head,-0.0078125
6,3,attn_head,0.015625
6,4,attn_head,-0.015625
6,5,attn_head,-0.0234375
6,6,attn_head,-0.0546875
6,7,attn_head,-0.0546875
6,8,attn_head,0.0546875
6,9,attn_head,-0.0234375
6,10,attn_head,0.015625
6,11,attn_head,0.0078125
6,12,attn_head,0.0078125
6,13,attn_head,-0.015625
6,14,attn_head,0.0078125
6,15,attn_head,0.0703125
7,0,attn_head,0.1171875
7,1,attn_head,0.0546875
7,2,attn_head,0.015625
7,3,attn_head,0.0078125
7,4,attn_head,0.0
7,5,attn_head,0.015625
7,6,attn_head,0.03125
7,7,attn_head,0.015625
7,8,attn_head,-0.046875
7,9,attn_head,-0.0078125
7,10,attn_head,0.1015625
7,11,attn_head,-0.03125
7,12,attn_head,0.03125
7,13,attn_head,-0.03125
7,14,attn_head,0.03125
7,15,attn_head,0.0078125
8,0,attn_head,-0.140625
8,1,attn_head,-0.015625
8,2,attn_head,-0.1953125
8,3,attn_head,0.0
8,4,attn_head,-0.046875
8,5,attn_head,0.1015625
8,6,attn_head,-0.078125
8,7,attn_head,0.0078125
8,8,attn_head,0.0234375
8,9,attn_head,0.0
8,10,attn_head,-0.0859375
8,11,attn_head,-0.109375
8,12,attn_head,-0.0546875
8,13,attn_head,0.0625
8,14,attn_head,0.1640625
8,15,attn_head,-0.0078125
9,0,attn_head,-0.015625
9,1,attn_head,0.09375
9,2,attn_head,-0.0390625
9,3,attn_head,0.0
9,4,attn_head,-0.1484375
9,5,attn_head,-0.109375
9,6,attn_head,0.0546875
9,7,attn_head,-0.0703125
9,8,attn_head,0.09375
9,9,attn_head,-0.0703125
9,10,attn_head,0.0078125
9,11,attn_head,0.046875
